Date,Track,Race,Field,Top Pick,Bet Type,Selection,Units,Composite,GEM,Confidence,Pace,Win%,Place%,Value,Result,Notes,actual_result,actual_pl,win_bet_pl,place_bet_pl,show_bet_pl,combined_straight_pl
2026-04-12,AQU,2,6,PROJECTABILITY,WIN,PROJECTABILITY,1.0,20,YES,HIGH,SLOW,45.3%,74.9%,STRONG_EV,WIN,STRESS_TEST ARM2026 AQU R2 | SCORE=20 | CONF=HIGH | PACE=SLOW | GEM=YES,WIN,5.9,5.9,1.92,0.61,8.43
2026-04-12,AQU,2,6,PROJECTABILITY,PLACE,PROJECTABILITY,1.0,20,YES,HIGH,SLOW,45.3%,74.9%,STRONG_EV,WIN,STRESS_TEST ARM2026 AQU R2 | SCORE=20 | CONF=HIGH | PACE=SLOW | GEM=YES,WIN,1.92,5.9,1.92,0.61,8.43
2026-04-12,AQU,2,6,PROJECTABILITY,SHOW,PROJECTABILITY,1.0,20,YES,HIGH,SLOW,45.3%,74.9%,STRONG_EV,WIN,STRESS_TEST ARM2026 AQU R2 | SCORE=20 | CONF=HIGH | PACE=SLOW | GEM=YES,WIN,0.61,5.9,1.92,0.61,8.43
2026-04-12,AQU,3,6,GRAND COMMANDER,WIN,GRAND COMMANDER,0.5,16,NO,MEDIUM,SLOW,30.9%,54.6%,STRONG_EV,WIN,STRESS_TEST ARM2026 AQU R3 | SCORE=16 | CONF=MEDIUM | PACE=SLOW | GEM=NO,WIN,1.665,3.33,0.65,0.4,4.38
2026-04-12,AQU,3,6,GRAND COMMANDER,PLACE,GRAND COMMANDER,0.5,16,NO,MEDIUM,SLOW,30.9%,54.6%,STRONG_EV,WIN,STRESS_TEST ARM2026 AQU R3 | SCORE=16 | CONF=MEDIUM | PACE=SLOW | GEM=NO,WIN,0.325,3.33,0.65,0.4,4.38
2026-04-12,AQU,3,6,GRAND COMMANDER,SHOW,GRAND COMMANDER,0.5,16,NO,MEDIUM,SLOW,30.9%,54.6%,STRONG_EV,WIN,STRESS_TEST ARM2026 AQU R3 | SCORE=16 | CONF=MEDIUM | PACE=SLOW | GEM=NO,WIN,0.2,3.33,0.65,0.4,4.38
2026-04-12,AQU,4,7,GALILEANS GIRL,WIN,GALILEANS GIRL,1.0,19,YES,HIGH,SLOW,41.4%,64.4%,STRONG_EV,LOSS,STRESS_TEST ARM2026 AQU R4 | SCORE=19 | CONF=HIGH | PACE=SLOW | GEM=YES,LOSS,-1.0,-1.0,-1.0,-1.0,-3.0
2026-04-12,AQU,4,7,GALILEANS GIRL,PLACE,GALILEANS GIRL,1.0,19,YES,HIGH,SLOW,41.4%,64.4%,STRONG_EV,LOSS,STRESS_TEST ARM2026 AQU R4 | SCORE=19 | CONF=HIGH | PACE=SLOW | GEM=YES,LOSS,-1.0,-1.0,-1.0,-1.0,-3.0
2026-04-12,AQU,4,7,GALILEANS GIRL,SHOW,GALILEANS GIRL,1.0,19,YES,HIGH,SLOW,41.4%,64.4%,STRONG_EV,LOSS,STRESS_TEST ARM2026 AQU R4 | SCORE=19 | CONF=HIGH | PACE=SLOW | GEM=YES,LOSS,-1.0,-1.0,-1.0,-1.0,-3.0
2026-04-12,AQU,4,7,GALILEANS GIRL,EXACTA_BOX,GALILEANS GIRL / PURPLE DIVINE,0.5,19,YES,HIGH,SLOW,41.4%,64.4%,STRONG_EV,MISS,STRESS_TEST ARM2026 AQU R4 | SCORE=19 | CONF=HIGH | PACE=SLOW | GEM=YES,MISS,-0.5,-1.0,-1.0,-1.0,-3.0
2026-04-12,AQU,4,7,GALILEANS GIRL,TRIFECTA_BOX,GALILEANS GIRL / PURPLE DIVINE / PROBABLE ANGLE,0.5,19,YES,HIGH,SLOW,41.4%,64.4%,STRONG_EV,MISS,STRESS_TEST ARM2026 AQU R4 | SCORE=19 | CONF=HIGH | PACE=SLOW | GEM=YES,MISS,-0.5,-1.0,-1.0,-1.0,-3.0
2026-04-12,AQU,4,7,GALILEANS GIRL,SUPERFECTA_BOX,GALILEANS GIRL / PURPLE DIVINE / PROBABLE ANGLE / BASEBALL LADY,0.5,19,YES,HIGH,SLOW,41.4%,64.4%,STRONG_EV,MISS,STRESS_TEST ARM2026 AQU R4 | SCORE=19 | CONF=HIGH | PACE=SLOW | GEM=YES,MISS,-0.5,-1.0,-1.0,-1.0,-3.0
2026-04-12,AQU,5,7,MY DAUGHTERS' GIFT,WIN,MY DAUGHTERS' GIFT,0.5,16,NO,MEDIUM,SLOW,32.7%,54.5%,STRONG_EV,LOSS,STRESS_TEST ARM2026 AQU R5 | SCORE=16 | CONF=MEDIUM | PACE=SLOW | GEM=NO,LOSS,-0.5,-1.0,-1.0,-1.0,-3.0
2026-04-12,AQU,5,7,MY DAUGHTERS' GIFT,PLACE,MY DAUGHTERS' GIFT,0.5,16,NO,MEDIUM,SLOW,32.7%,54.5%,STRONG_EV,LOSS,STRESS_TEST ARM2026 AQU R5 | SCORE=16 | CONF=MEDIUM | PACE=SLOW | GEM=NO,LOSS,-0.5,-1.0,-1.0,-1.0,-3.0
2026-04-12,AQU,5,7,MY DAUGHTERS' GIFT,SHOW,MY DAUGHTERS' GIFT,0.5,16,NO,MEDIUM,SLOW,32.7%,54.5%,STRONG_EV,LOSS,STRESS_TEST ARM2026 AQU R5 | SCORE=16 | CONF=MEDIUM | PACE=SLOW | GEM=NO,LOSS,-0.5,-1.0,-1.0,-1.0,-3.0
