track_code,restriction,class_info,surface,par,source_page,year
ALB,3+F*,"Cond CLM 5,000 - 5,900",D,54,181,2025
ALB,3+F,"CLM 75,000 - UP",D,81,181,2025
ALB,3+F,"ACN(1-Y), ANC, ANS",D,70,181,2025
ALB,3+F*,"Cond CLM 6,000 - 7,400",D,56,181,2025
ALB,3+F,"CN2 10,000 - 14,900",D,57,181,2025
ALB,3+F,"AN2L, AN1X",D,65,181,2025
ALB,3+F*,"MCL 6,000 - 7,400",D,42,181,2025
ALB,3+F,"CN2 15,000 - 20,000",D,65,181,2025
ALB,3+F,"AN2X, AN3L",D,71,181,2025
ALB,3+F*,"MCL 7,500 - 8,900",D,42,181,2025
ALB,3+F,"CN2 21,000 - 34,000",D,71,181,2025
ALB,3+F,"CLM 10,000 - 14,900",D,68,181,2025
ALB,3+F*,MSW,D,49,181,2025
ALB,3+F,"CN2 35,000 - 49,000",D,73,181,2025
ALB,3+F,"CLM 5,000 - 5,900",D,61,181,2025
ALB,3+F*,"SA 10,000 - 14,900",D,67,181,2025
ALB,3+F,"CN2 7,500 - 8,900",D,55,181,2025
ALB,3+F,"CLM 6,000 - 7,400",D,64,181,2025
ALB,3+C*,"ACN(1-Y), ANC, ANS",D,70,181,2025
ALB,3+F,"CN3, CN4 10,000 - 14,900",D,64,181,2025
ALB,3+F,"CLM 7,500 - 8,900",D,66,181,2025
ALB,3+C*,"AN2L, AN1X",D,65,181,2025
ALB,3+F,"CN3, CN4 15,000 - 20,000",D,63,181,2025
ALB,3+F,"CN2 5,000 - 5,900",D,48,181,2025
ALB,3+C*,"AN2X, AN3L",D,67,181,2025
ALB,3+F,"Cond CLM 10,000 - 14,900",D,64,181,2025
ALB,3+F,"CN2 6,000 - 7,400",D,55,181,2025
ALB,3+C*,"CLM 5,000 - 5,900",D,64,181,2025
ALB,3+F,"Cond CLM 15,000 - 20,000",D,67,181,2025
ALB,3+F,"CN3, CN4 10,000 - 14,900",D,63,181,2025
ALB,3+C*,"CN2 10,000 - 14,900",D,55,181,2025
ALB,3+F,"Cond CLM 21,000 - 34,000",D,72,181,2025
ALB,3+F,"CN3, CN4 5,000 - 5,900",D,53,181,2025
ALB,3+C*,"CN2 6,000 - 7,400",D,52,181,2025
ALB,3+F,"Cond CLM 35,000 - 49,000",D,73,181,2025
ALB,3+F,"CN3, CN4 7,500 - 8,900",D,56,181,2025
ALB,3+C*,"CN2 7,500 - 8,900",D,55,181,2025
ALB,3+F,"Cond CLM 7,500 - 8,900",D,60,181,2025
ALB,3+F,"Cond CLM 5,000 - 5,900",D,59,181,2025
ALB,3+C*,"CN3, CN4 5,000 - 5,900",D,58,181,2025
ALB,3+F,GSTK-G2,D,92,181,2025
ALB,3+F,"Cond CLM 6,000 - 7,400",D,57,181,2025
ALB,3+C*,"CN3, CN4 6,000 - 7,400",D,58,181,2025
ALB,3+F,GSTK-G3,D,92,181,2025
ALB,3+F,"MCL 6,000 - 7,400",D,43,181,2025
ALB,3+C*,"CN3, CN4 7,500 - 8,900",D,61,181,2025
ALB,3+F,"MCL 10,000 - 14,900",D,50,181,2025
ALB,3+F,"MCL 7,500 - 8,900",D,47,181,2025
ALB,3+C*,"Cond CLM 10,000 - 14,900",D,66,181,2025
ALB,3+F,"MCL 15,000 - 20,000",D,50,181,2025
ALB,3+F,MSW,D,55,181,2025
ALB,3+C*,"Cond CLM 5,000 - 5,900",D,62,181,2025
ALB,3+F,"MCL 21,000 - 34,000",D,58,181,2025
ALB,3+F,"SA 10,000 - 14,900",D,67,181,2025
