race_name,age_sex,track_name,grade_2025,grade_2026,direction,source_page,year
Bryan Station,3YO Open,Keeneland,3,2,UPGRADED,241,2026
Caress,Older F/M,Saratoga,3,2,UPGRADED,241,2026
Doubledogdare,Older F/M,Keeneland,3,2,UPGRADED,241,2026
Giant’s Causeway,Older F/M,Keeneland,3,2,UPGRADED,241,2026
Green Flash,Older Open,Del Mar,3,2,UPGRADED,241,2026
Hanshin,Older Open,Churchill Downs,Listed,3,UPGRADED,241,2026
Indian Summer,2YO Open,Keeneland,Listed,3,UPGRADED,241,2026
Ladies Turf,Older F/M,Kentucky Downs,3,2,UPGRADED,241,2026
Ladies Turf Sprint,Older F/M,Kentucky Downs,2,1,UPGRADED,241,2026
Limestone,3YO F,Keeneland,Listed,3,UPGRADED,241,2026
Maxfield,3YO Open,Churchill Downs,Listed,3,UPGRADED,241,2026
Molly Pitcher,Older F/M,Monmouth Park,3,2,UPGRADED,241,2026
Nashville Derby Invitational,3YO Open,Kentucky Downs,3,2,UPGRADED,241,2026
Shawnee,Older F/M,Churchill Downs,3,2,UPGRADED,241,2026
Unbridled Sidney,Older F/M,Churchill Downs,3,2,UPGRADED,241,2026
Fort Marcy,Older Open,Belmont at Aqueduct,2,3,DOWNGRADED,241,2026
Frank E. Kilroe Mile,Older Open,Santa Anita Park,1,2,DOWNGRADED,241,2026
Franklin-Simpson,3YO Open,Kentucky Downs,1,2,DOWNGRADED,241,2026
Greenwood Cup,Older Open,Parx Racing,3,Listed,DOWNGRADED,241,2026
Gulfstream Park Mile,Older Open,Gulfstream Park,2,3,DOWNGRADED,241,2026
Honeymoon,3YO F,Santa Anita Park,3,Listed,DOWNGRADED,241,2026
Joe Hernandez,Older Open,Santa Anita Park,2,3,DOWNGRADED,241,2026
Las Virgenes,3YO F,Santa Anita Park,3,Listed,DOWNGRADED,241,2026
Palos Verdes,Older Open,Santa Anita Park,3,Listed,DOWNGRADED,241,2026
Pucker Up,3YO F,Ellis Park,3,Listed,DOWNGRADED,241,2026
Red Carpet,Older F/M,Del Mar,3,Listed,DOWNGRADED,241,2026
San Francisco Mile,Older Open,Golden Gate Not run,Not,eligible,DOWNGRADED,241,2026
Sands Point,3YO F,Belmont at Aqueduct,2,3,DOWNGRADED,241,2026
Santa Maria,Older F/M,Santa Anita Park,2,3,DOWNGRADED,241,2026
Sham,3YO Open,Santa Anita Park Not run,Not,eligible,DOWNGRADED,241,2026
Tokyo City Cup,Older Open,Santa Anita Park Not eligible,Not,eligible,DOWNGRADED,241,2026
