jockey_name,track_code,wins,win_pct,starts,surface,source_page,year
Luis A. Valenzuela,ALB,24,25.0,96,,880,2025
Fausto Henrique Da Silva,ALB,17,23.3,73,,880,2025
Luis A. Fuentes,ALB,14,32.6,43,,880,2025
Enrique Portillo Gomez,ALB,12,14.6,82,,880,2025
Aldo Arboleda,ALB,10,16.4,61,,880,2025
Manuel Franco,AQU,65,22.8,285,,880,2025
Jose Lezcano,AQU,56,20.8,269,,880,2025
Kendrick Carmouche,AQU,46,22.9,201,,880,2025
Eric Cancel,AQU,30,16.1,186,,880,2025
Ruben Silvera,AQU,22,11.5,192,,880,2025
Kendrick Carmouche,AQU,21,28.8,73,,880,2025
Dylan Davis,AQU,20,26.7,75,,880,2025
Manuel Franco,AQU,19,22.4,85,,880,2025
Christopher Elliott,AQU,11,17.5,63,,880,2025
Javier Castellano,AQU,10,16.7,60,,880,2025
Flavien Prat,AQU,46,33.8,136,,880,2025
Manuel Franco,AQU,33,17.5,189,,880,2025
Kendrick Carmouche,AQU,25,16.9,148,,880,2025
Jose Lezcano,AQU,21,15.8,133,,880,2025
Jaime Rodriguez,AQU,20,13.5,148,,880,2025
Adrian B. Ramos,ARP,25,25.0,100,,880,2025
David Cardoso,ARP,23,19.5,118,,880,2025
Nathan Haar,ARP,22,17.9,123,,880,2025
Jose Angel Medina,ARP,21,16.8,125,,880,2025
Larren Delorme,ARP,21,18.6,113,,880,2025
Damario Bynoe,ASD,60,26.5,226,,881,2025
Antonio Whitehall,ASD,48,21.1,227,,881,2025
Sven Balroop,ASD,36,19.7,183,,881,2025
Prayven Badrie,ASD,29,29.9,97,,881,2025
Rachaad Knights,ASD,24,15.0,160,,881,2025
Jose Angel Medina,ATO,3,100.0,3,,881,2025
Nathan Haar,ATO,0,0.0,2,,881,2025
Chris Fackler,ATO,0,0.0,3,,881,2025
Ricardo Martinez,ATO,0,0.0,3,,881,2025
Scott A. Bethke,ATO,0,0.0,1,,881,2025
Flavien Prat,BAQ,28,31.1,90,,881,2025
Manuel Franco,BAQ,26,19.0,137,,881,2025
"Irad Ortiz, Jr.",BAQ,24,29.6,81,,881,2025
Jose Lezcano,BAQ,22,15.8,139,,881,2025
Kendrick Carmouche,BAQ,22,19.6,112,,881,2025
