race_name,track_code,grade,narc_rating,beyer_2025,beyer_10yr_avg,winner_2025,source_page,year
Ack Ack S.-G3,CD,3,109.0,93,96.2,Tumbarumba,223,2025
Acorn S.-G1,SAR,1,,93,97.6,La Cara,223,2025
Adirondack S.-G3,SAR,3,97.3,84,75.1,Mythical,223,2025
Alabama S.-G1,SAR,1,111.8,93,96.4,Nitrogen,223,2025
Alcibiades S.-G1,KEE,1,,75,81.7,Tommy Jo,223,2025
Alysheba S.-G2,CD,2,,107,105.0,Fierceness,223,2025
American S.-G3,SA,3,107.3,96,96.5,Cabo Spirit,223,2025
American Oaks-G1,SA,1,108.8,85,91.9,Ambaya,223,2025
American Pharoah S.-G1,SA,1,107.5,87,91.9,Intrepido,223,2025
American Turf S.-G1,CD,1,109.5,90,91.7,Zulu Kingdom (IRE),223,2025
Amsterdam S.-G2,SAR,2,113.3,101,104.1,Smoken Wicked,223,2025
Appalachian S.-G2,KEE,2,,88,87.3,Nitrogen,223,2025
Apple Blossom H.-G1,OP,1,107.8,93,98.7,Thorpedo Anna,223,2025
Aristides S.-G3,CD,3,,88,98.7,Durante,223,2025
Arkansas Derby-G1,OP,1,106.5,99,96.18,Sandman,223,2025
Arlington S.-G3,CD,3,108.8,95,97.44,Mercante,223,2025
Arlington Million S.-G1,CNL,1,113.0,99,102.11,Fort Washington,223,2025
Ashland S.-G1,KEE,1,,88,90.2,La Cara,223,2025
Autumn Miss S.-G3,SA,3,99.5,78,89.1,Warming,223,2025
Autumn S.-G3,WO,3,,97,95.7,Dresden Row,223,2025
Azeri S.-G2,OP,2,109.3,95,94.5,Thorpedo Anna,223,2025
Ballerina S.-G1,SAR,1,,100,100.7,Hope Road,223,2025
Ballston Spa S.-G2,SAR,2,106.0,98,98.7,Ozara (IRE),223,2025
Bayakoa S.-G3,DMR,3,,94,90.63,Hope Road,223,2025
Bayakoa S.-G3,OP,3,,84,90.7,Wild Bout Hilary,223,2025
Beaugay S.-G3,BAQ,3,106.5,93,97.7,Dynamic Pricing (IRE),223,2025
Beaumont S.-G2,KEE,2,,84,89.1,Verity,223,2025
Bed o’ Roses S.-G2,SAR,2,,111,97.44,Ways and Means,223,2025
Beholder Mile S.-G1,SA,1,,101,100.0,Cavalieri,223,2025
Beldame S.-G2,BAQ,2,95.8,86,94.8,Gun Song,223,2025
Belle Mahone S.-G3,WO,3,,95,87.8,Caitlinhergrtness,223,2025
Belmont Derby Invitational S.-G1,SAR,1,110.0,90,93.0,Test Score,223,2025
Belmont Gold Cup S.-G3,SAR,3,102.3,97,98.56,Parchment Party,223,2025
