track_code,surface,distance_raw,distance_f,win_time_secs,win_time_str,race_date,source_page,year
ALB,D,5F,5.0,56.02,:56.02,8-Oct-25,1203,2025
ATO,D,6F,6.0,76.6,1:16.60,16-Aug-25,1203,2025
ALB,D,5 1/2F,5.5,62.55,1:02.55,4-Oct-25,1203,2025
ALB,D,6F,6.0,68.05,1:08.05,4-Oct-25,1203,2025
ALB,D,6 1/2F,6.5,74.57,1:14.57,19-Oct-25,1203,2025
ALB,D,7F,7.0,80.45,1:20.45,25-Oct-25,1203,2025
BAQ,D,5F,5.0,58.38,:58.38,3-May-25,1203,2025
ALB,D,1M,8.0,95.19,1:35.19,10-Sep-25,1203,2025
BAQ,D,5 1/2F,5.5,64.73,1:04.73,12-Jun-25,1203,2025
ALB,D,1 1/16M,8.5,103.29,1:43.29,5-Oct-25,1203,2025
BAQ,D,6F,6.0,68.8,1:08.80,15-Jun-25,1203,2025
ALB,D,1 1/8M,9.0,109.35,1:49.35,11-Oct-25,1203,2025
BAQ,D,6 1/2F,6.5,73.86,1:13.86,13-Jun-25,1203,2025
BAQ,D,7F,7.0,81.6,1:21.60,22-Jun-25,1203,2025
BAQ,D,1M,8.0,93.45,1:33.45,4-Oct-25,1203,2025
BAQ,D,1 1/8M,9.0,108.11,1:48.11,27-Sep-25,1203,2025
AQU,D,6F,6.0,69.04,1:09.04,20-Nov-25,1203,2025
BAQ,D,1 3/16M,9.5,115.29,1:55.29,9-May-25,1203,2025
AQU,D,6 1/2F,6.5,75.65,1:15.65,7-Nov-25,1203,2025
BAQ,D,1 1/4M,10.0,121.58,2:01.58,23-May-25,1203,2025
AQU,D,7F,7.0,81.39,1:21.39,15-Nov-25,1203,2025
AQU,D,1M,8.0,93.5,1:33.50,4-Dec-25,1203,2025
AQU,D,1 1/8M,9.0,107.41,1:47.41,20-Nov-25,1203,2025
BAQ,T,6F,6.0,67.09,1:07.09,12-Jun-25,1203,2025
AQU,D,1 3/16M,9.5,115.29,1:55.29,3-Apr-25,1203,2025
BAQ,T,1M,8.0,94.51,1:34.51,20-Sep-25,1203,2025
AQU,D,1 1/4M,10.0,121.69,2:01.69,5-Apr-25,1203,2025
BAQ,T,1 1/16M,8.5,100.21,1:40.21,29-Jun-25,1203,2025
AQU,D,1 3/8M,11.0,139.42,2:19.42,29-Mar-25,1203,2025
BAQ,T,1 1/8M,9.0,105.6,1:45.60,13-Jun-25,1203,2025
BAQ,T,1 3/16M,9.5,113.45,1:53.45,17-Oct-25,1203,2025
BAQ,T,1 3/8M,11.0,134.45,2:14.45,4-Oct-25,1203,2025
AQU,T,6F,6.0,67.31,1:07.31,25-Apr-25,1203,2025
BAQ,T,1 1/2M,12.0,145.72,2:25.72,27-Sep-25,1203,2025
AQU,T,1M,8.0,95.63,1:35.63,6-Nov-25,1203,2025
AQU,T,1 1/16M,8.5,102.27,1:42.27,6-Nov-25,1203,2025
AQU,T,1 1/8M,9.0,108.23,1:48.23,8-Nov-25,1203,2025
AQU,T,1 1/8M,9.0,108.23,1:48.23,15-Nov-25,1203,2025
AQU,T,1 3/16M,9.5,116.09,1:56.09,13-Nov-25,1203,2025
BKF,D,5F,5.0,62.0,1:02.00,1-Sep-25,1203,2025
AQU,T,1 3/8M,11.0,137.07,2:17.07,8-Nov-25,1203,2025
BKF,D,5 1/2F,5.5,69.3,1:09.30,6-Sep-25,1203,2025
BKF,D,6F,6.0,73.3,1:13.30,31-Aug-25,1203,2025
ARP,D,4 1/2F,4.5,51.39,:51.39,5-Oct-25,1203,2025
ARP,D,5F,5.0,57.64,:57.64,18-Oct-25,1203,2025
ARP,D,5 1/2F,5.5,63.6,1:03.60,25-Oct-25,1203,2025
ARP,D,6F,6.0,70.18,1:10.18,16-Nov-25,1203,2025
ARP,D,7F,7.0,84.18,1:24.18,11-Oct-25,1203,2025
BTP,D,4 1/2F,4.5,52.35,:52.35,14-Aug-25,1203,2025
ARP,D,1M,8.0,100.71,1:40.71,8-Nov-25,1203,2025
BTP,D,5F,5.0,57.88,:57.88,26-Sep-25,1203,2025
BTP,D,5 1/2F,5.5,64.27,1:04.27,7-Oct-25,1203,2025
ARP,D,1 1/16M,8.5,108.48,1:48.48,16-Nov-25,1203,2025
BTP,D,6F,6.0,70.03,1:10.03,30-May-25,1203,2025
ARP,D,1 1/8M,9.0,115.83,1:55.83,16-Nov-25,1203,2025
BTP,D,6 1/2F,6.5,76.94,1:16.94,11-Sep-25,1203,2025
BTP,D,1M,8.0,98.24,1:38.24,3-May-25,1203,2025
BTP,D,1 1/16M,8.5,105.76,1:45.76,3-Oct-25,1203,2025
ASD,D,4 1/2F,4.5,54.41,:54.41,5-Aug-25,1203,2025
BTP,D,1 1/8M,9.0,112.32,1:52.32,21-Aug-25,1203,2025
ASD,D,5F,5.0,59.59,:59.59,30-Jul-25,1203,2025
ASD,D,5 1/2F,5.5,65.29,1:05.29,8-Jul-25,1203,2025
ASD,D,6F,6.0,71.36,1:11.36,19-Aug-25,1203,2025
BTP,T,5F,5.0,55.64,:55.64,30-Aug-25,1203,2025
ASD,D,7F,7.0,86.86,1:26.86,7-Oct-25,1203,2025
BTP,T,1M,8.0,95.08,1:35.08,2-Oct-25,1203,2025
ASD,D,7 1/2F,7.5,93.01,1:33.01,20-Aug-25,1203,2025
BTP,T,1 1/16M,8.5,102.15,1:42.15,27-Aug-25,1203,2025
ASD,D,1M,8.0,99.63,1:39.63,4-Aug-25,1203,2025
ASD,D,1 1/16M,8.5,105.69,1:45.69,26-Aug-25,1203,2025
ASD,D,1 1/8M,9.0,113.93,1:53.93,4-Aug-25,1203,2025
CBY,D,4 1/2F,4.5,52.27,:52.27,10-Jul-25,1204,2025
CNL,T,5F,5.0,56.43,:56.43,23-Aug-25,1204,2025
CBY,D,5F,5.0,57.56,:57.56,29-Jun-25,1204,2025
CNL,T,5 1/2F,5.5,61.49,1:01.49,3-Sep-25,1204,2025
CBY,D,5 1/2F,5.5,63.14,1:03.14,29-Jun-25,1204,2025
CNL,T,1M,8.0,94.49,1:34.49,13-Sep-25,1204,2025
CBY,D,6F,6.0,69.54,1:09.54,1-Jun-25,1204,2025
CNL,T,1 1/16M,8.5,99.92,1:39.92,9-Aug-25,1204,2025
CBY,D,7F,7.0,82.74,1:22.74,9-Jul-25,1204,2025
CNL,T,1 1/8M,9.0,105.76,1:45.76,15-Aug-25,1204,2025
CBY,D,1M,8.0,97.34,1:37.34,21-Aug-25,1204,2025
CNL,T,1 3/16M,9.5,113.74,1:53.74,9-Aug-25,1204,2025
CNL,T,1 1/4M,10.0,119.58,1:59.58,9-Aug-25,1204,2025
CBY,D,1 1/16M,8.5,105.59,1:45.59,9-Aug-25,1204,2025
CNL,T,1 1/2M,12.0,147.55,2:27.55,6-Sep-25,1204,2025
CNL,T,2M,16.0,221.97,3:41.97,11-Sep-25,1204,2025
CBY,T,5F,5.0,55.12,:55.12,31-May-25,1204,2025
CBY,T,7 1/2F,7.5,87.76,1:27.76,12-Jul-25,1204,2025
CBY,T,1M,8.0,93.56,1:33.56,1-Jun-25,1204,2025
CPW,D,4 1/2F,4.5,54.4,:54.40,21-Jun-25,1204,2025
CPW,D,5F,5.0,60.2,1:00.20,14-Jun-25,1204,2025
CBY,T,1 1/16M,8.5,101.69,1:41.69,3-Aug-25,1204,2025
CPW,D,5 1/2F,5.5,67.3,1:07.30,22-Jun-25,1204,2025
CPW,D,5 1/2F,5.5,67.3,1:07.30,29-Jun-25,1204,2025
CPW,D,6 1/2F,6.5,80.3,1:20.30,28-Jun-25,1204,2025
CD,D,4 1/2F,4.5,51.34,:51.34,30-Apr-25,1204,2025
